type,n,m,t,otps,cmps,iters
rnd,55,58,9,8,5,9
max,55,58,10,26,9,27
min,55,58,10,26,9,59
rnd,55,58,10,26,9,219
max,55,58,19,54,16,202
max,55,58,1,1,2,2
min,55,58,1,1,2,2
rnd,55,58,1,1,2,2
max,55,58,7,11,6,12
min,55,58,7,11,6,30
rnd,55,58,7,11,6,12
max,55,58,10,16,8,17
min,55,58,10,16,8,77
rnd,55,58,10,16,8,68
max,55,58,3,6,4,7
min,55,58,3,6,4,20
rnd,55,58,3,6,4,17
max,55,58,9,19,9,20
min,55,58,9,19,9,49
rnd,55,58,9,19,9,58
max,55,58,8,12,7,13
min,55,58,8,12,7,37
rnd,55,58,8,12,7,13
max,55,58,11,14,8,32
min,55,58,11,14,8,231
rnd,55,58,11,14,8,101
max,55,58,11,16,9,27
min,55,58,11,16,9,841
rnd,55,58,11,16,9,110
max,55,58,24,59,17,103
max,55,58,8,19,7,20
min,55,58,8,19,7,101
rnd,55,58,8,19,7,63
max,55,58,13,24,10,30
min,55,58,13,24,10,320
rnd,55,58,13,24,10,98
max,55,58,5,8,5,15
min,55,58,5,8,5,50
rnd,55,58,5,8,5,16
max,55,58,12,24,10,45
min,55,58,12,24,10,96
rnd,55,58,12,24,10,213
max,55,58,11,22,10,31
min,55,58,11,22,10,376
rnd,55,58,11,22,10,192
max,55,58,10,26,10,59
rnd,55,58,10,26,10,131
max,55,58,23,75,18,142
max,55,58,9,13,8,20
min,55,58,9,13,8,42
rnd,55,58,9,13,8,50
max,55,58,15,28,11,29
min,55,58,15,28,11,215
rnd,55,58,15,28,11,254
max,55,58,19,55,14,56
rnd,55,58,19,55,14,167
max,55,58,3,3,3,4
min,55,58,3,3,3,7
rnd,55,58,3,3,3,7
max,55,58,16,50,13,83
rnd,55,58,16,50,13,1368
max,55,58,11,28,11,29
min,55,58,11,28,11,410
rnd,55,58,11,28,11,55
max,55,58,5,6,6,7
min,55,58,5,6,6,14
rnd,55,58,5,6,6,7
max,55,58,6,11,6,12
min,55,58,6,11,6,32
rnd,55,58,6,11,6,12
max,55,58,10,20,11,35
min,55,58,10,20,11,893
rnd,55,58,10,20,11,362
max,55,58,4,6,5,7
min,55,58,4,6,5,26
rnd,55,58,4,6,5,7
max,55,58,13,22,10,23
min,55,58,13,22,10,129
rnd,55,58,13,22,10,163
max,55,58,22,52,16,53
max,55,58,24,55,14,124
min,55,58,24,55,14,730
max,55,58,9,18,9,34
min,55,58,9,18,9,605
rnd,55,58,9,18,9,163
max,55,58,15,43,13,82
rnd,55,58,15,43,13,1280
max,55,58,12,26,11,49
min,55,58,12,26,11,1475
rnd,55,58,12,26,11,214
max,55,58,19,40,12,63
rnd,55,58,19,40,12,127
max,55,58,24,70,17,161
max,55,58,5,3,3,4
min,55,58,5,3,3,6
rnd,55,58,5,3,3,5
max,55,58,18,45,14,86
min,55,58,18,45,14,290
max,55,58,14,23,11,43
min,55,58,14,23,11,852
rnd,55,58,14,23,11,251
max,55,58,11,23,10,45
min,55,58,11,23,10,826
rnd,55,58,11,23,10,124
max,55,58,5,8,5,9
min,55,58,5,8,5,32
rnd,55,58,5,8,5,23
max,55,58,20,65,15,66
min,55,58,20,65,15,347
max,55,58,20,101,15,375
max,55,58,5,9,6,10
min,55,58,5,9,6,52
rnd,55,58,5,9,6,28
max,55,58,24,78,17,144
rnd,55,58,24,78,17,394
max,55,58,4,4,3,5
min,55,58,4,4,3,6
rnd,55,58,4,4,3,5
max,55,58,24,85,18,176
max,55,58,6,3,4,4
min,55,58,6,3,4,4
rnd,55,58,6,3,4,4
max,55,58,19,51,12,66
min,55,58,19,51,12,1164
rnd,55,58,19,51,12,235
max,55,58,21,31,13,32
rnd,55,58,21,31,13,58
max,55,58,22,54,16,116
rnd,55,58,22,54,16,408
max,55,58,4,4,4,5
min,55,58,4,4,4,8
rnd,55,58,4,4,4,5
max,55,58,15,37,11,74
min,55,58,15,37,11,204
rnd,55,58,15,37,11,117
max,55,58,10,12,6,13
min,55,58,10,12,6,36
rnd,55,58,10,12,6,13
max,55,58,18,63,14,102
min,55,58,18,63,14,671
max,55,58,15,29,9,31
min,55,58,15,29,9,76
rnd,55,58,15,29,9,76
max,55,58,12,12,7,22
min,55,58,12,12,7,108
rnd,55,58,12,12,7,29
max,55,58,15,37,12,74
rnd,55,58,15,37,12,368
max,55,58,16,52,16,92
max,55,58,6,9,6,10
min,55,58,6,9,6,28
rnd,55,58,6,9,6,10
max,55,58,14,19,10,33
min,55,58,14,19,10,421
rnd,55,58,14,19,10,1686
max,55,58,18,39,13,40
min,55,58,18,39,13,155
rnd,55,58,18,39,13,133
max,55,58,16,40,13,84
min,55,58,16,40,13,118
rnd,55,58,16,40,13,97
max,55,58,20,65,16,168
max,55,58,7,10,5,11
min,55,58,7,10,5,27
rnd,55,58,7,10,5,11
max,55,58,16,36,13,87
max,55,58,17,30,12,31
min,55,58,17,30,12,235
rnd,55,58,17,30,12,48
max,55,58,8,11,8,12
min,55,58,8,11,8,58
rnd,55,58,8,11,8,17
max,55,58,20,37,14,68
rnd,55,58,20,37,14,918
max,55,58,12,17,8,36
min,55,58,12,17,8,396
rnd,55,58,12,17,8,443
max,55,58,9,17,7,37
min,55,58,9,17,7,130
rnd,55,58,9,17,7,99
max,55,58,13,19,11,20
min,55,58,13,19,11,164
rnd,55,58,13,19,11,34
max,55,58,24,96,20,199
min,55,58,24,96,20,1327
max,55,58,4,2,3,3
min,55,58,4,2,3,3
rnd,55,58,4,2,3,3
max,55,58,2,1,2,2
min,55,58,2,1,2,2
rnd,55,58,2,1,2,2
max,55,58,15,26,13,27
min,55,58,15,26,13,1848
rnd,55,58,15,26,13,388
max,55,58,5,9,4,16
min,55,58,5,9,4,66
rnd,55,58,5,9,4,52
max,55,58,13,34,11,35
min,55,58,13,34,11,107
rnd,55,58,13,34,11,430
max,55,58,13,28,12,53
min,55,58,13,28,12,1324
max,55,58,4,5,5,8
min,55,58,4,5,5,10
rnd,55,58,4,5,5,10
max,55,58,7,10,7,11
min,55,58,7,10,7,52
rnd,55,58,7,10,7,11
max,55,58,15,45,14,46
min,55,58,15,45,14,1837
max,55,58,6,6,6,7
min,55,58,6,6,6,7
rnd,55,58,6,6,6,7
max,55,58,24,43,16,78
max,55,58,24,88,17,235
max,55,58,15,29,13,52
rnd,55,58,15,29,13,54
max,55,58,2,3,3,4
min,55,58,2,3,3,7
rnd,55,58,2,3,3,4
max,55,58,20,49,14,50
min,55,58,20,49,14,244
rnd,55,58,20,49,14,348
