type,n,m,t,otps,cmps,iters
min,120,305,126,8,3,9
rnd,120,305,126,8,3,9
max,120,305,67,1,2,2
min,120,305,67,1,2,2
rnd,120,305,67,1,2,2
max,120,305,131,12,2,22
min,120,305,131,12,2,57
rnd,120,305,131,12,2,33
max,120,305,52,2,2,3
min,120,305,52,2,2,3
rnd,120,305,52,2,2,3
max,120,305,120,12,6,13
min,120,305,120,12,6,39
rnd,120,305,120,12,6,15
max,120,305,134,23,5,28
min,120,305,134,23,5,59
rnd,120,305,134,23,5,38
max,120,305,138,33,7,83
max,120,305,123,5,3,6
min,120,305,123,5,3,6
rnd,120,305,123,5,3,6
max,120,305,54,1,3,2
min,120,305,54,1,3,2
rnd,120,305,54,1,3,2
max,120,305,91,33,6,62
rnd,120,305,91,33,6,132
max,120,305,127,31,5,60
rnd,120,305,127,31,5,117
max,120,305,83,2,2,3
min,120,305,83,2,2,3
rnd,120,305,83,2,2,3
max,120,305,53,5,3,6
min,120,305,53,5,3,7
rnd,120,305,53,5,3,6
max,120,305,144,10,3,12
rnd,120,305,144,10,3,39
max,120,305,49,5,2,6
min,120,305,49,5,2,6
rnd,120,305,49,5,2,6
max,120,305,86,7,3,9
min,120,305,86,7,3,18
rnd,120,305,86,7,3,10
max,120,305,83,4,3,10
min,120,305,83,4,3,8
rnd,120,305,83,4,3,8
max,120,305,21,1,2,2
min,120,305,21,1,2,2
rnd,120,305,21,1,2,2
max,120,305,24,1,2,2
min,120,305,24,1,2,2
rnd,120,305,24,1,2,2
max,120,305,89,5,2,7
min,120,305,89,5,2,9
rnd,120,305,89,5,2,8
max,120,305,100,9,3,10
min,120,305,100,9,3,12
rnd,120,305,100,9,3,12
max,120,305,52,5,3,6
min,120,305,52,5,3,6
rnd,120,305,52,5,3,6
max,120,305,113,7,2,8
min,120,305,113,7,2,8
rnd,120,305,113,7,2,8
max,120,305,125,27,5,72
max,120,305,139,21,5,22
rnd,120,305,139,21,5,54
max,120,305,96,15,3,16
min,120,305,96,15,3,24
rnd,120,305,96,15,3,37
max,120,305,136,9,4,11
min,120,305,136,9,4,32
rnd,120,305,136,9,4,18
max,120,305,119,13,3,22
min,120,305,119,13,3,46
rnd,120,305,119,13,3,40
max,120,305,82,21,4,28
min,120,305,82,21,4,69
rnd,120,305,82,21,4,128
max,120,305,111,6,2,7
min,120,305,111,6,2,7
rnd,120,305,111,6,2,7
max,120,305,121,20,5,23
min,120,305,121,20,5,58
rnd,120,305,121,20,5,44
max,120,305,41,1,2,2
min,120,305,41,1,2,2
rnd,120,305,41,1,2,2
max,120,305,126,18,4,19
min,120,305,126,18,4,26
rnd,120,305,126,18,4,27
max,120,305,119,7,3,8
min,120,305,119,7,3,12
rnd,120,305,119,7,3,9
max,120,305,93,11,3,12
min,120,305,93,11,3,18
rnd,120,305,93,11,3,13
max,120,305,64,1,2,2
min,120,305,64,1,2,2
rnd,120,305,64,1,2,2
max,120,305,98,2,2,3
min,120,305,98,2,2,4
rnd,120,305,98,2,2,4
max,120,305,106,10,4,13
min,120,305,106,10,4,26
rnd,120,305,106,10,4,18
max,120,305,87,7,2,8
min,120,305,87,7,2,11
rnd,120,305,87,7,2,8
max,120,305,113,14,5,17
rnd,120,305,113,14,5,39
max,120,305,78,5,4,6
min,120,305,78,5,4,6
rnd,120,305,78,5,4,6
max,120,305,146,5,3,8
min,120,305,146,5,3,10
rnd,120,305,146,5,3,9
max,120,305,83,3,2,4
min,120,305,83,3,2,4
rnd,120,305,83,3,2,4
max,120,305,145,17,4,19
rnd,120,305,145,17,4,52
max,120,305,116,11,4,12
min,120,305,116,11,4,19
rnd,120,305,116,11,4,19
max,120,305,42,3,2,4
min,120,305,42,3,2,4
rnd,120,305,42,3,2,4
max,120,305,56,3,2,4
min,120,305,56,3,2,4
rnd,120,305,56,3,2,4
max,120,305,125,4,3,5
min,120,305,125,4,3,5
rnd,120,305,125,4,3,5
max,120,305,21,1,2,2
min,120,305,21,1,2,2
rnd,120,305,21,1,2,2
max,120,305,48,3,3,4
min,120,305,48,3,3,5
rnd,120,305,48,3,3,5
max,120,305,147,9,5,10
min,120,305,147,9,5,15
rnd,120,305,147,9,5,10
max,120,305,146,21,5,55
max,120,305,86,4,3,5
min,120,305,86,4,3,5
rnd,120,305,86,4,3,5
max,120,305,120,1,3,2
min,120,305,120,1,3,2
rnd,120,305,120,1,3,2
max,120,305,78,6,3,7
min,120,305,78,6,3,10
rnd,120,305,78,6,3,9
max,120,305,83,5,2,6
min,120,305,83,5,2,9
rnd,120,305,83,5,2,6
max,120,305,124,31,9,60
rnd,120,305,124,31,9,127
max,120,305,102,9,4,10
min,120,305,102,9,4,15
rnd,120,305,102,9,4,13
max,120,305,65,11,3,13
min,120,305,65,11,3,29
rnd,120,305,65,11,3,16
max,120,305,125,19,4,40
rnd,120,305,125,19,4,50
max,120,305,36,1,2,2
min,120,305,36,1,2,2
rnd,120,305,36,1,2,2
max,120,305,124,12,4,13
min,120,305,124,12,4,14
rnd,120,305,124,12,4,13
max,120,305,121,19,5,21
min,120,305,121,19,5,52
rnd,120,305,121,19,5,29
max,120,305,119,1,2,2
min,120,305,119,1,2,2
rnd,120,305,119,1,2,2
max,120,305,112,15,4,16
min,120,305,112,15,4,20
rnd,120,305,112,15,4,19
max,120,305,59,5,3,6
min,120,305,59,5,3,8
rnd,120,305,59,5,3,7
max,120,305,118,17,5,48
rnd,120,305,118,17,5,101
max,120,305,103,3,2,4
min,120,305,103,3,2,4
rnd,120,305,103,3,2,4
max,120,305,118,28,6,32
min,120,305,118,28,6,92
rnd,120,305,118,28,6,39
max,120,305,54,2,2,3
min,120,305,54,2,2,4
rnd,120,305,54,2,2,3
max,120,305,135,25,6,49
rnd,120,305,135,25,6,83
max,120,305,120,5,4,6
min,120,305,120,5,4,13
rnd,120,305,120,5,4,10
max,120,305,127,14,4,23
min,120,305,127,14,4,51
rnd,120,305,127,14,4,40
max,120,305,82,7,3,8
min,120,305,82,7,3,9
rnd,120,305,82,7,3,9
max,120,305,121,14,4,20
rnd,120,305,121,14,4,81
max,120,305,105,8,3,9
min,120,305,105,8,3,13
rnd,120,305,105,8,3,10
max,120,305,74,4,3,5
min,120,305,74,4,3,5
rnd,120,305,74,4,3,5
max,120,305,68,2,2,3
min,120,305,68,2,2,4
rnd,120,305,68,2,2,3
max,120,305,141,17,5,18
min,120,305,141,17,5,28
rnd,120,305,141,17,5,25
max,120,305,71,4,4,5
min,120,305,71,4,4,5
rnd,120,305,71,4,4,5
max,120,305,147,27,5,92
max,120,305,54,5,3,6
min,120,305,54,5,3,6
rnd,120,305,54,5,3,10
max,120,305,37,3,2,4
min,120,305,37,3,2,4
rnd,120,305,37,3,2,4
max,120,305,146,5,3,6
min,120,305,146,5,3,6
rnd,120,305,146,5,3,6
max,120,305,105,12,2,18
min,120,305,105,12,2,40
rnd,120,305,105,12,2,19
max,120,305,149,14,5,28
min,120,305,149,14,5,58
rnd,120,305,149,14,5,38
max,120,305,99,6,2,7
min,120,305,99,6,2,11
rnd,120,305,99,6,2,7
max,120,305,135,8,4,9
min,120,305,135,8,4,12
rnd,120,305,135,8,4,9
max,120,305,23,1,2,2
min,120,305,23,1,2,2
rnd,120,305,23,1,2,2
max,120,305,66,1,2,2
min,120,305,66,1,2,2
rnd,120,305,66,1,2,2
max,120,305,100,1,2,2
min,120,305,100,1,2,2
rnd,120,305,100,1,2,2
max,120,305,56,1,2,2
min,120,305,56,1,2,2
rnd,120,305,56,1,2,2
max,120,305,115,17,5,21
min,120,305,115,17,5,63
rnd,120,305,115,17,5,67
max,120,305,37,1,2,2
min,120,305,37,1,2,2
rnd,120,305,37,1,2,2
max,120,305,124,2,2,3
min,120,305,124,2,2,3
rnd,120,305,124,2,2,3
max,120,305,91,6,3,7
min,120,305,91,6,3,8
rnd,120,305,91,6,3,7
max,120,305,64,1,2,2
min,120,305,64,1,2,2
rnd,120,305,64,1,2,2
max,120,305,113,3,2,4
min,120,305,113,3,2,6
rnd,120,305,113,3,2,5
max,120,305,51,1,2,2
min,120,305,51,1,2,2
rnd,120,305,51,1,2,2
max,120,305,114,12,4,35
min,120,305,114,12,4,109
rnd,120,305,114,12,4,148
max,120,305,29,0,2,1
min,120,305,29,0,2,1
rnd,120,305,29,0,2,1
max,120,305,149,16,4,20
