type,n,m,t,otps,cmps,iters
max,53,110,28,7,3,8
min,53,110,28,7,3,11
rnd,53,110,28,7,3,8
max,53,110,36,9,3,11
min,53,110,36,9,3,15
rnd,53,110,36,9,3,11
max,53,110,22,5,2,6
min,53,110,22,5,2,8
rnd,53,110,22,5,2,7
max,53,110,39,25,5,202
min,53,110,39,25,5,1401
rnd,53,110,39,25,5,196
max,53,110,30,5,2,6
min,53,110,30,5,2,6
rnd,53,110,30,5,2,6
max,53,110,12,3,3,4
min,53,110,12,3,3,4
rnd,53,110,12,3,3,4
max,53,110,29,2,2,3
min,53,110,29,2,2,3
rnd,53,110,29,2,2,3
max,53,110,39,52,4,194
min,53,110,39,52,4,821
rnd,53,110,39,52,4,709
max,53,110,31,11,2,15
min,53,110,31,11,2,31
rnd,53,110,31,11,2,23
max,53,110,32,3,2,5
min,53,110,32,3,2,6
rnd,53,110,32,3,2,5
max,53,110,16,3,2,4
min,53,110,16,3,2,6
rnd,53,110,16,3,2,6
max,53,110,33,5,2,6
min,53,110,33,5,2,8
rnd,53,110,33,5,2,6
max,53,110,38,58,3,424
min,53,110,38,58,3,1205
rnd,53,110,38,58,3,708
max,53,110,20,1,2,2
min,53,110,20,1,2,2
rnd,53,110,20,1,2,2
max,53,110,34,26,4,59
min,53,110,34,26,4,138
rnd,53,110,34,26,4,84
max,53,110,8,3,2,4
min,53,110,8,3,2,4
rnd,53,110,8,3,2,4
max,53,110,36,9,3,15
min,53,110,36,9,3,46
rnd,53,110,36,9,3,35
max,53,110,18,6,3,15
min,53,110,18,6,3,27
rnd,53,110,18,6,3,15
max,53,110,40,40,4,116
min,53,110,40,40,4,187
rnd,53,110,40,40,4,120
max,53,110,16,3,3,5
min,53,110,16,3,3,5
rnd,53,110,16,3,3,5
max,53,110,31,26,5,233
min,53,110,31,26,5,899
rnd,53,110,31,26,5,475
max,53,110,36,9,2,15
min,53,110,36,9,2,39
rnd,53,110,36,9,2,26
max,53,110,11,1,2,2
min,53,110,11,1,2,2
rnd,53,110,11,1,2,2
max,53,110,10,4,2,6
min,53,110,10,4,2,9
rnd,53,110,10,4,2,7
max,53,110,38,13,4,33
min,53,110,38,13,4,118
rnd,53,110,38,13,4,82
max,53,110,27,2,2,3
min,53,110,27,2,2,3
rnd,53,110,27,2,2,3
max,53,110,16,1,2,2
min,53,110,16,1,2,2
rnd,53,110,16,1,2,2
max,53,110,25,6,2,9
min,53,110,25,6,2,15
rnd,53,110,25,6,2,18
max,53,110,25,6,3,34
min,53,110,25,6,3,49
rnd,53,110,25,6,3,30
max,53,110,40,50,4,156
min,53,110,40,50,4,1536
rnd,53,110,40,50,4,529
max,53,110,33,4,2,6
min,53,110,33,4,2,8
rnd,53,110,33,4,2,8
max,53,110,32,11,3,13
min,53,110,32,11,3,26
rnd,53,110,32,11,3,14
max,53,110,9,1,2,2
min,53,110,9,1,2,2
rnd,53,110,9,1,2,2
max,53,110,30,6,3,10
min,53,110,30,6,3,17
rnd,53,110,30,6,3,10
max,53,110,11,3,2,4
min,53,110,11,3,2,5
rnd,53,110,11,3,2,4
