type,n,m,t,otps,cmps,iters
max,68,115,35,12,3,93
min,68,115,35,12,3,1052
rnd,68,115,35,12,3,916
max,68,115,30,2,2,3
min,68,115,30,2,2,4
rnd,68,115,30,2,2,4
max,68,115,32,5,2,7
min,68,115,32,5,2,13
rnd,68,115,32,5,2,7
max,68,115,23,3,2,4
min,68,115,23,3,2,6
rnd,68,115,23,3,2,5
max,68,115,29,6,2,7
min,68,115,29,6,2,7
rnd,68,115,29,6,2,7
max,68,115,27,5,2,11
min,68,115,27,5,2,24
rnd,68,115,27,5,2,18
max,68,115,18,9,3,29
min,68,115,18,9,3,98
rnd,68,115,18,9,3,29
max,68,115,24,4,2,5
min,68,115,24,4,2,11
rnd,68,115,24,4,2,9
max,68,115,36,7,3,11
min,68,115,36,7,3,18
rnd,68,115,36,7,3,23
max,68,115,23,9,3,10
min,68,115,23,9,3,13
rnd,68,115,23,9,3,14
max,68,115,28,3,2,4
min,68,115,28,3,2,4
rnd,68,115,28,3,2,4
max,68,115,34,19,2,32
min,68,115,34,19,2,52
rnd,68,115,34,19,2,48
max,68,115,39,3,2,4
min,68,115,39,3,2,7
rnd,68,115,39,3,2,5
max,68,115,37,13,2,14
min,68,115,37,13,2,16
rnd,68,115,37,13,2,24
max,68,115,30,13,4,23
min,68,115,30,13,4,334
rnd,68,115,30,13,4,145
max,68,115,34,6,2,8
min,68,115,34,6,2,28
rnd,68,115,34,6,2,19
max,68,115,16,4,2,5
min,68,115,16,4,2,5
rnd,68,115,16,4,2,5
max,68,115,37,9,3,17
min,68,115,37,9,3,53
rnd,68,115,37,9,3,50
max,68,115,40,41,5,444
rnd,68,115,40,41,5,469
max,68,115,37,39,4,222
rnd,68,115,37,39,4,514
max,68,115,33,3,2,4
min,68,115,33,3,2,7
rnd,68,115,33,3,2,5
max,68,115,39,18,4,99
min,68,115,39,18,4,800
rnd,68,115,39,18,4,510
max,68,115,25,13,3,20
min,68,115,25,13,3,63
rnd,68,115,25,13,3,53
max,68,115,22,4,2,5
min,68,115,22,4,2,6
rnd,68,115,22,4,2,5
max,68,115,38,17,4,23
min,68,115,38,17,4,162
rnd,68,115,38,17,4,53
max,68,115,29,24,4,172
rnd,68,115,29,24,4,1669
max,68,115,40,9,2,20
min,68,115,40,9,2,79
rnd,68,115,40,9,2,38
max,68,115,20,3,2,4
min,68,115,20,3,2,6
rnd,68,115,20,3,2,4
max,68,115,32,11,4,16
min,68,115,32,11,4,25
rnd,68,115,32,11,4,17
max,68,115,37,39,3,112
rnd,68,115,37,39,3,380
max,68,115,10,3,2,4
min,68,115,10,3,2,8
rnd,68,115,10,3,2,8
max,68,115,19,4,2,5
min,68,115,19,4,2,16
rnd,68,115,19,4,2,6
max,68,115,38,7,2,11
min,68,115,38,7,2,26
rnd,68,115,38,7,2,14
max,68,115,39,13,3,27
min,68,115,39,13,3,106
rnd,68,115,39,13,3,39
max,68,115,22,3,2,6
min,68,115,22,3,2,8
rnd,68,115,22,3,2,6
max,68,115,20,8,2,29
min,68,115,20,8,2,71
rnd,68,115,20,8,2,33
max,68,115,22,12,3,40
min,68,115,22,12,3,117
rnd,68,115,22,12,3,56
max,68,115,34,4,2,5
min,68,115,34,4,2,5
rnd,68,115,34,4,2,5
max,68,115,38,28,5,857
rnd,68,115,38,28,5,1038
max,68,115,36,19,5,426
min,68,115,36,19,5,1196
rnd,68,115,36,19,5,335
max,68,115,20,4,2,8
min,68,115,20,4,2,9
rnd,68,115,20,4,2,7
max,68,115,10,3,2,4
min,68,115,10,3,2,4
rnd,68,115,10,3,2,4
max,68,115,38,8,2,14
min,68,115,38,8,2,26
rnd,68,115,38,8,2,20
max,68,115,38,10,3,16
min,68,115,38,10,3,37
rnd,68,115,38,10,3,13
max,68,115,30,5,2,9
min,68,115,30,5,2,26
rnd,68,115,30,5,2,21
max,68,115,36,35,5,134
rnd,68,115,36,35,5,259
max,68,115,38,28,5,129
min,68,115,38,28,5,955
rnd,68,115,38,28,5,408
max,68,115,22,3,2,4
min,68,115,22,3,2,4
rnd,68,115,22,3,2,4
max,68,115,34,25,3,243
rnd,68,115,34,25,3,873
max,68,115,32,3,2,7
min,68,115,32,3,2,8
rnd,68,115,32,3,2,8
max,68,115,32,12,3,40
min,68,115,32,12,3,251
rnd,68,115,32,12,3,126
max,68,115,39,5,2,8
min,68,115,39,5,2,23
rnd,68,115,39,5,2,23
max,68,115,37,10,3,11
min,68,115,37,10,3,12
rnd,68,115,37,10,3,11
max,68,115,35,11,3,18
min,68,115,35,11,3,49
rnd,68,115,35,11,3,37
max,68,115,39,3,2,7
min,68,115,39,3,2,7
rnd,68,115,39,3,2,7
max,68,115,35,9,3,10
min,68,115,35,9,3,13
rnd,68,115,35,9,3,12
max,68,115,33,9,3,33
min,68,115,33,9,3,120
rnd,68,115,33,9,3,54
max,68,115,28,6,2,9
min,68,115,28,6,2,22
rnd,68,115,28,6,2,16
max,68,115,39,5,2,6
min,68,115,39,5,2,6
rnd,68,115,39,5,2,6
max,68,115,29,4,2,5
min,68,115,29,4,2,16
rnd,68,115,29,4,2,5
max,68,115,21,8,2,20
min,68,115,21,8,2,31
rnd,68,115,21,8,2,20
max,68,115,34,10,2,12
min,68,115,34,10,2,79
rnd,68,115,34,10,2,52
max,68,115,38,9,3,13
min,68,115,38,9,3,80
rnd,68,115,38,9,3,21
max,68,115,34,15,3,23
min,68,115,34,15,3,183
rnd,68,115,34,15,3,29
max,68,115,13,4,2,5
min,68,115,13,4,2,6
rnd,68,115,13,4,2,6
max,68,115,37,3,2,4
min,68,115,37,3,2,4
rnd,68,115,37,3,2,4
max,68,115,17,3,2,4
min,68,115,17,3,2,7
rnd,68,115,17,3,2,4
max,68,115,37,19,2,22
min,68,115,37,19,2,101
rnd,68,115,37,19,2,64
max,68,115,29,3,2,6
min,68,115,29,3,2,8
rnd,68,115,29,3,2,6
max,68,115,32,7,3,8
min,68,115,32,7,3,9
rnd,68,115,32,7,3,9
max,68,115,38,16,4,59
min,68,115,38,16,4,1955
rnd,68,115,38,16,4,461
max,68,115,35,7,2,8
min,68,115,35,7,2,9
rnd,68,115,35,7,2,9
max,68,115,33,4,2,5
min,68,115,33,4,2,6
rnd,68,115,33,4,2,5
max,68,115,24,4,2,7
