type,n,m,t,otps,cmps,iters
max,196,533,157,11,3,16
min,196,533,157,11,3,24
rnd,196,533,157,11,3,25
max,196,533,142,5,2,11
min,196,533,142,5,2,14
rnd,196,533,142,5,2,13
max,196,533,163,4,2,6
min,196,533,163,4,2,8
rnd,196,533,163,4,2,7
max,196,533,138,2,2,3
min,196,533,138,2,2,3
rnd,196,533,138,2,2,3
max,196,533,197,8,3,9
max,196,533,73,2,2,3
min,196,533,73,2,2,3
rnd,196,533,73,2,2,3
max,196,533,193,8,3,19
rnd,196,533,193,8,3,21
max,196,533,162,11,2,14
rnd,196,533,162,11,2,14
max,196,533,190,6,2,7
min,196,533,190,6,2,9
rnd,196,533,190,6,2,11
max,196,533,180,10,3,11
min,196,533,180,10,3,11
rnd,196,533,180,10,3,11
max,196,533,128,3,2,4
min,196,533,128,3,2,5
rnd,196,533,128,3,2,4
max,196,533,177,11,2,13
min,196,533,177,11,2,19
max,196,533,100,2,2,3
min,196,533,100,2,2,3
rnd,196,533,100,2,2,3
max,196,533,66,2,2,3
min,196,533,66,2,2,3
rnd,196,533,66,2,2,3
max,196,533,190,23,3,24
max,196,533,96,4,2,5
min,196,533,96,4,2,7
rnd,196,533,96,4,2,8
max,196,533,175,7,2,8
min,196,533,175,7,2,14
rnd,196,533,175,7,2,12
max,196,533,155,8,2,9
min,196,533,155,8,2,13
rnd,196,533,155,8,2,9
max,196,533,173,7,2,12
min,196,533,173,7,2,17
rnd,196,533,173,7,2,17
max,196,533,186,2,2,3
min,196,533,186,2,2,3
rnd,196,533,186,2,2,3
max,196,533,159,2,2,3
min,196,533,159,2,2,3
rnd,196,533,159,2,2,3
max,196,533,154,17,3,29
max,196,533,112,3,2,7
min,196,533,112,3,2,7
rnd,196,533,112,3,2,7
max,196,533,165,14,3,23
rnd,196,533,165,14,3,29
max,196,533,166,14,2,15
max,196,533,188,3,2,4
min,196,533,188,3,2,4
rnd,196,533,188,3,2,4
max,196,533,169,5,2,6
min,196,533,169,5,2,6
rnd,196,533,169,5,2,6
max,196,533,160,9,2,10
min,196,533,160,9,2,24
rnd,196,533,160,9,2,19
max,196,533,166,5,2,7
min,196,533,166,5,2,13
rnd,196,533,166,5,2,8
max,196,533,120,2,2,4
min,196,533,120,2,2,4
rnd,196,533,120,2,2,4
max,196,533,139,3,2,4
min,196,533,139,3,2,6
rnd,196,533,139,3,2,6
max,196,533,152,8,2,9
min,196,533,152,8,2,9
rnd,196,533,152,8,2,9
max,196,533,199,7,2,13
min,196,533,199,7,2,13
rnd,196,533,199,7,2,15
rnd,196,533,171,12,3,27
max,196,533,111,2,2,3
min,196,533,111,2,2,3
rnd,196,533,111,2,2,3
max,196,533,170,2,2,3
min,196,533,170,2,2,3
rnd,196,533,170,2,2,3
max,196,533,69,4,2,10
min,196,533,69,4,2,14
rnd,196,533,69,4,2,15
max,196,533,98,4,2,6
min,196,533,98,4,2,10
rnd,196,533,98,4,2,8
max,196,533,131,4,2,5
min,196,533,131,4,2,5
rnd,196,533,131,4,2,5
max,196,533,172,8,2,9
min,196,533,172,8,2,12
rnd,196,533,172,8,2,11
max,196,533,181,3,2,5
min,196,533,181,3,2,6
rnd,196,533,181,3,2,6
max,196,533,194,14,2,17
rnd,196,533,194,14,2,21
max,196,533,150,5,2,6
min,196,533,150,5,2,8
rnd,196,533,150,5,2,6
max,196,533,186,3,2,4
min,196,533,186,3,2,6
rnd,196,533,186,3,2,4
max,196,533,156,6,2,9
min,196,533,156,6,2,12
rnd,196,533,156,6,2,8
max,196,533,98,5,2,6
min,196,533,98,5,2,10
rnd,196,533,98,5,2,8
max,196,533,132,7,2,16
min,196,533,132,7,2,25
rnd,196,533,132,7,2,16
max,196,533,167,14,2,15
min,196,533,167,14,2,16
rnd,196,533,167,14,2,16
max,196,533,196,8,2,12
min,196,533,196,8,2,26
rnd,196,533,196,8,2,22
max,196,533,149,6,2,7
min,196,533,149,6,2,8
rnd,196,533,149,6,2,11
max,196,533,189,8,2,9
min,196,533,189,8,2,16
rnd,196,533,189,8,2,10
max,196,533,126,2,2,4
min,196,533,126,2,2,4
rnd,196,533,126,2,2,4
max,196,533,137,17,3,29
max,196,533,94,2,2,4
min,196,533,94,2,2,4
rnd,196,533,94,2,2,4
max,196,533,182,13,2,14
min,196,533,182,13,2,39
rnd,196,533,182,13,2,16
max,196,533,148,4,3,6
min,196,533,148,4,3,6
rnd,196,533,148,4,3,6
max,196,533,173,6,2,9
rnd,196,533,173,6,2,11
max,196,533,139,5,2,8
min,196,533,139,5,2,13
rnd,196,533,139,5,2,9
max,196,533,156,9,3,10
min,196,533,156,9,3,15
rnd,196,533,156,9,3,15
max,196,533,87,2,2,4
min,196,533,87,2,2,4
rnd,196,533,87,2,2,4
max,196,533,178,6,2,11
min,196,533,178,6,2,21
rnd,196,533,178,6,2,14
max,196,533,74,3,2,4
